dataset,horizon,model,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,var,var_states,peak_mae
japan,3,cola_gnn,395.0523,344.38287,1176.9827420145123,857.9726,0.8705181093620245,0.8829672689851085,0.6768337452298974,0.6928700662216184,0.6851309537887573,0.7101001168819184,313.7523
japan,3,SelfAttnRNN,578.04846,473.33588,1738.4350721266526,1302.1118,0.6463631438379508,0.60886318185153,0.2949777763524527,0.2483110876895946,0.32484668493270874,0.31216402890834405,466.60016
japan,3,lstnet,646.1277,552.3973,1911.139973942254,1432.4478,0.4431302516914759,0.4472474793047362,0.14793870322907732,0.10633109657622315,0.16396433115005493,0.1340288075994938,564.3769
japan,3,dcrnn,616.0088,536.7926,1937.701731433401,1453.3456,0.4195805653764308,0.4220465981930264,0.12408951114791944,0.07877751499710205,0.17279410362243652,0.175777109379464,552.30493
japan,3,CNNRNN_Res,619.46387,522.12177,1877.1034201662944,1402.1173,0.4546299397145677,0.46349837657814924,0.17801812096620784,0.1505506969789274,0.20661020278930664,0.19804156714297355,548.616
japan,5,cola_gnn,413.58948,353.91647,1333.0100337206768,979.3601,0.8474410346992376,0.856081966791789,0.5930512084511386,0.6039889948442525,0.6098858118057251,0.6376445838745605,361.0141
japan,5,SelfAttnRNN,583.4511,474.8525,1703.3483202210873,1280.3126,0.6651796227115754,0.6249297373373546,0.3355231152448729,0.2841943214725464,0.3645145297050476,0.34876209751088566,464.09973
japan,5,lstnet,747.1776,630.11914,2113.270451220099,1593.9059,0.22009368300040794,0.19828706651967742,-0.022782046834780134,-0.1003862549062447,0.02334064245223999,-0.012992356685881919,612.7805
japan,5,dcrnn,698.0148,580.589,2149.02594214216,1627.8406,0.17971525405516942,0.13837752195768377,-0.05768486844072496,-0.15944105841709827,0.03118997812271118,0.018945588710460256,642.4639
japan,5,CNNRNN_Res,728.5101,597.3642,2144.053870591875,1621.1791,0.15467445864885443,0.14165195442662043,-0.052796281650760335,-0.14388171728974516,0.008863747119903564,-0.033648147227916314,630.4912
japan,10,cola_gnn,496.68155,416.24213,1505.9950199120847,1120.6241,0.7911185156814682,0.790385250274769,0.4983874639478313,0.486895353897642,0.5195310115814209,0.5291332539091719,424.4583
japan,10,SelfAttnRNN,599.12976,493.1133,1815.8445693395677,1369.4973,0.6515242127301165,0.6355109638739882,0.2707463024468121,0.2168998107131569,0.3131486773490906,0.3074304677070455,513.0778
japan,10,lstnet,741.46533,603.71234,2078.0538972798563,1577.2361,0.34668097535027353,0.2711903641241451,0.04493063563597954,-0.059058854618474585,0.11228346824645996,0.07143362912725895,625.7362
japan,10,dcrnn,721.90436,587.82135,2150.1360422075622,1629.3896,0.49747097095239257,0.45227136223722425,-0.022476077425427343,-0.1216831397859729,0.07048022747039795,0.06242552209407725,658.8477
japan,10,CNNRNN_Res,751.2717,611.33636,2198.6379874822505,1666.012,0.26714664494617185,0.14568514209278863,-0.06912568941371444,-0.17433338177019328,0.02382868528366089,0.006794580753813399,681.33887
japan,15,cola_gnn,595.8692,490.49512,1770.5033888699563,1332.1697,0.6672362182062397,0.6631720194289835,0.24915903438323717,0.2171678991583069,0.3011605143547058,0.31648787539056006,490.83563
japan,15,SelfAttnRNN,574.0341,468.04694,1705.711288583153,1290.8553,0.6281969111456011,0.6082357558846432,0.3031079620239956,0.2527714642290157,0.3320116400718689,0.3137330818683543,472.0849
japan,15,lstnet,572.392,477.54858,1799.3920501102589,1347.6156,0.5850697813106345,0.5797851648394443,0.22445675980558855,0.20498983516080344,0.26608365774154663,0.2814010242198376,495.10895
japan,15,dcrnn,675.0669,546.8013,2062.8457285992085,1568.4922,0.5314097753499546,0.5014142939513347,-0.01926688108834318,-0.1116330706814362,0.07189631462097168,0.06737703211764072,620.7535
japan,15,CNNRNN_Res,674.80493,550.8736,2036.103816115475,1538.4753,0.4799220688911545,0.46524171774975986,0.0069885627143996265,-0.05564925192911369,0.08407169580459595,0.08765339597742608,599.74304
region785,3,cola_gnn,418.53604,276.71243,851.3963163533185,701.5638,0.8370575785674701,0.7273238562721553,0.6451755146963644,0.4631106269514061,0.6738986968994141,0.5177088975906372,368.33655
region785,3,SelfAttnRNN,857.3541,584.4616,1486.16116218935,1222.0261,0.4664836525124034,0.013764108557625637,-0.08113987807720946,-0.5624764657251526,0.17346060276031494,-0.04881682395935059,771.32294
region785,3,lstnet,501.24832,312.13666,909.3622765432928,763.3975,0.784696487729233,0.5866497383041963,0.5952154260091161,0.303485182245011,0.6100554466247559,0.34612424969673156,411.92108
region785,3,dcrnn,562.2056,408.39117,1062.4421160703298,867.5926,0.7989414156685256,0.7053897948924124,0.4474639364754689,0.22626380703074678,0.5667893290519714,0.47294878363609316,517.869
region785,3,CNNRNN_Res,508.23383,379.92685,913.588289384228,737.39966,0.7839559937127579,0.76572362325155,0.5914444403251407,0.3986854517361048,0.6145381331443787,0.5618332624435425,430.7337
region785,5,cola_gnn,613.9403,409.30905,1162.032217711712,961.3239,0.6906240214061105,0.42807212795184757,0.34298715713916705,0.005147189188001155,0.4340038299560547,0.1810739278793335,540.6098
region785,5,SelfAttnRNN,746.7408,459.8728,1289.2297603608133,1069.6345,0.5338494642810101,0.11039844092616373,0.19128007867404295,-0.2691908633502539,0.26110976934432983,0.011033540964126587,601.437
region785,5,lstnet,637.36993,408.4226,1090.683157475167,907.79443,0.6596962506015261,0.3463200115765561,0.4211917138057578,0.057320267304257225,0.4347847104072571,0.1165868878364563,489.56943
region785,5,dcrnn,776.77985,557.9775,1362.9194308542233,1117.5757,0.6950686072944859,0.5450519057574357,0.09618853150651141,-0.2825799036664418,0.36770594120025635,0.2698309659957886,715.56506
region785,5,CNNRNN_Res,633.55566,449.5541,1102.4518696977207,903.6034,0.6542353481368283,0.5166158776064687,0.4086334602563104,0.0751140190061678,0.4123176336288452,0.2334601104259491,477.34653
region785,10,cola_gnn,960.4052,676.4738,1609.3967814060024,1324.0232,0.46003906417334406,0.12745220491990789,-0.24168191420070473,-0.7817381557021734,0.1559656262397766,0.010315120220184326,888.7622
region785,10,SelfAttnRNN,929.5656,628.18555,1568.071825523308,1294.8499,0.3416649574371965,-0.055866158808120195,-0.17873447192933445,-0.7433299594297605,0.11417114734649658,-0.16839393377304077,832.5169
region785,10,lstnet,714.33453,486.0052,1264.552835985907,1045.506,0.5675428062771183,0.2132095455394508,0.23341907693870634,-0.18537439840791986,0.32075875997543335,0.01083880066871643,613.63837
region785,10,dcrnn,1000.9919,709.2178,1619.160430593584,1330.4532,0.6414560286778933,0.45654820360604403,-0.2567931169600426,-0.7895277210652448,0.20686262845993042,0.1458638608455658,910.3395
region785,10,CNNRNN_Res,845.8298,596.91376,1470.9725524291744,1212.8901,0.5254291292518696,-0.06716281957927958,-0.03727321643133652,-0.5503506574799191,0.214185893535614,-0.001323455572128296,779.03015
region785,15,cola_gnn,846.7281,486.63898,1326.4014757983346,1140.3668,0.4731144720997124,0.05775218602830341,0.16831839485320144,-0.7049394614352306,0.186504065990448,-0.5801280021667481,646.356
region785,15,SelfAttnRNN,762.8897,516.1735,1370.0498622312984,1124.2012,0.5876331103738069,0.2980012667910514,0.11268083183696853,-0.28605676197634733,0.2907026410102844,0.07470136880874634,688.8297
region785,15,lstnet,826.96045,541.52985,1373.9939956200683,1141.8901,0.4371727632423558,-0.11141302454824123,0.10756463140591277,-0.435977710475293,0.1851828694343567,-0.2645712912082672,669.70013
region785,15,dcrnn,1006.9841,725.6665,1646.8630028026012,1349.7582,0.5845604824777665,0.3404024105076299,-0.28210024427593416,-0.8103532153175319,0.17136532068252563,0.0858810544013977,927.87756
region785,15,CNNRNN_Res,743.4869,514.70575,1270.4343745349463,1045.3597,0.5269583968908433,0.1346894821009738,0.23702288629015889,-0.17493939761185914,0.2776820659637451,-0.008972364664077758,569.6988
state360,3,cola_gnn,74.10771,86.82546,198.5729459008704,125.731445,0.9094224949694809,0.722355662429941,0.8031903811397676,0.307824655719476,0.8097175359725952,0.39093129732170884,54.934948
state360,3,SelfAttnRNN,91.17668,117.6195,236.84669191008348,146.14693,0.8937113400812686,0.6994272351235671,0.7200110866034324,0.1852477642884332,0.7387386560440063,0.45192332657016054,69.17378
state360,3,lstnet,110.086784,142.2647,279.6935544037438,173.455,0.8248732860983516,0.5496303608765299,0.6095449020381241,-0.8287669875545908,0.629514217376709,0.09619849798630695,82.9366
state360,3,dcrnn,91.929825,110.171104,227.489440002168,146.35019,0.8961622315567586,0.6707413563271843,0.7416974841562838,-0.01981542142640575,0.7578678131103516,0.2096312192021584,67.75823
state360,3,CNNRNN_Res,110.08231,146.4494,270.26991716615447,166.41658,0.825398518149028,0.6731590931501729,0.6354126245470775,-1.7323123491189338,0.6501065492630005,-0.19805849328333017,79.69062
state360,5,cola_gnn,93.18583,107.49767,225.53310975054194,146.24878,0.872463525644251,0.5966819815711807,0.7498035172977113,-0.20180280408412019,0.7560651302337646,-0.06093732191591847,67.52856
state360,5,SelfAttnRNN,116.35461,150.4246,285.3254309775068,176.30678,0.8322607047405877,0.5396525915188082,0.5995561947034,-0.41098851798348146,0.6254905462265015,0.2580116792600982,86.87174
state360,5,lstnet,119.89382,147.68445,295.10624410964266,183.98566,0.7960729687986079,0.40677462586179525,0.5716315979131689,-0.9201052953655092,0.5914610624313354,-0.027693548981024295,87.64412
state360,5,dcrnn,113.444954,142.70668,280.5942494287793,176.48029,0.8522507430665005,0.539768824464345,0.6127261492214983,-0.31921151769841183,0.6424674987792969,0.08128822701317924,86.537636
state360,5,CNNRNN_Res,123.85534,170.67128,308.10046809036174,186.9271,0.7856176898139651,0.5387675803094403,0.5330769079568991,-1.0599573131715958,0.5629386305809021,0.08731123136014354,92.79004
state360,10,cola_gnn,104.722786,127.93083,247.92016891783936,158.59982,0.8735477350917437,0.6082280084117568,0.7087436438611621,-0.3083553045246895,0.7283549308776855,-0.01069861772109051,78.96235
state360,10,SelfAttnRNN,151.1887,186.76497,343.385135907919,213.23303,0.7333492874833755,0.41390345446152643,0.44125360989973494,-2.124057408494636,0.4722588062286377,0.05947330533241739,110.237724
state360,10,lstnet,126.43533,171.87405,314.5199218650545,189.94798,0.7934085601793199,0.4863799017776845,0.5312427109342448,-0.8930144678604178,0.5688514113426208,-0.035815286393068274,100.9996
state360,10,dcrnn,129.47952,165.2156,313.27968983402036,193.92427,0.8328914618829071,0.5616496268028737,0.5349322771653366,-0.7808039468610163,0.5754009485244751,0.05060238011029302,101.74386
